date,capacity,turnover,high,low,close,change,transaction_volume,open
1706486400,28925008,18684914184,648,644,648,4,32337,646
1706572800,37152877,23937955482,647,642,642,-6,34990,642
1706659200,42903701,27053482041,637,626,628,-14,61796,634
1707955200,118216803,82780085125,709,693,697,51,130338,709
1708041600,45346167,31247909903,699,683,683,-14,56861,697
1708300800,35158837,23845253133,682,674,678,-5,35229,674
1708387200,30897730,21147010297,688,675,687,9,32840,675
1708473600,31417543,21365761190,683,678,681,-6,35999,678
1708560000,34122392,23562666854,695,685,692,11,36996,695
1708646400,47810478,33431889721,703,696,697,5,48013,701
1708905600,29263379,20419357885,700,695,698,1,25845,700
1708992000,33645548,23431825422,701,691,698,0,31132,700
1709164800,55159072,38090362220,698,688,690,-8,39058,691
1709251200,23950721,16550042380,697,688,689,-1,26278,697
1709510400,94175112,67674402454,725,711,725,36,125794,714
1709596800,66103411,48475695205,738,728,730,5,69828,735
1709683200,44807833,32625481333,738,717,735,5,49880,718
1709769600,74510406,56740142445,769,754,760,25,96331,755
1709856000,89780110,70758210363,796,772,784,24,110714,795
1710115200,67293931,51636856668,778,761,766,-18,107328,768
1710201600,59277308,45202227644,771,754,770,4,56129,757
1710288000,37524896,29297045522,785,777,779,9,37732,785
1710374400,42632017,33247938523,785,770,784,5,35119,779
1710460800,75644846,57667460954,777,753,753,-31,94996,771
1710720000,44292400,33667380941,765,754,764,0,40063,754
1710806400,30760900,23398585016,765,755,762,-2,31199,758
1710892800,42260389,32151383839,769,752,758,-4,46686,764
1710979200,47368094,36899536832,784,772,784,26,48462,773
1711065600,31223749,24426580649,789,775,785,1,33041,788
1711324800,20332414,15915406407,788,779,780,-5,24782,783
